,Title,Release Year,RT_score,URL,Director,Cast,Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Sound Mix,Aspect Ratio,audience_score,number_audience_reviews,Rerelease Date (Theaters)
45,The Witch,2015,90%,https://www.rottentomatoes.com/m/the_witch_2016,Robert Eggers,"Anya Taylor-Joy,Ralph Ineson,Kate Dickie,Harvey Scrimshaw",Robert Eggers,"Jay Van Hoy,Lars Knudsen,Jodi Redmond,Daniel Bekerman,Rodrigo Teixeira",Robert Eggers,A24,,R (Graphic Nudity|Disturbing Violent Content),"Horror,History,Drama",English,"Feb 19, 2016, Wide","May 17, 2016",$25.1M,1h 32m,,,60%,"25,000+ Ratings","Apr 1, 2016"
46,Green Room,2015,90%,https://www.rottentomatoes.com/m/green_room_2016,Jeremy Saulnier,"Anton Yelchin,Imogen Poots,Alia Shawkat,Joe Cole",Jeremy Saulnier,"Neil Kopp,Anish Savjani,Victor Moyers",Jeremy Saulnier,A24,"Broad Green Pictures,Filmscience",R (Language|Gory Images|Some Drug Content|Strong Brutal Graphic Violence),"Mystery & Thriller,Horror",English,"Apr 29, 2016, Wide","Jul 27, 2016",$3.2M,1h 34m,,,75%,"10,000+ Ratings",
47,A Most Violent Year,2014,90%,https://www.rottentomatoes.com/m/a_most_violent_year,J.C. Chandor,"Oscar Isaac,Jessica Chastain,David Oyelowo,Alessandro Nivola",J.C. Chandor,"Neal Dodson,Anna Gerb,J.C. Chandor",J.C. Chandor,A24,"Before the Door,Old Bull Pictures,Washingston Square Films",R (Some Violence|Language),"Crime,Drama,Mystery & Thriller",English,"Dec 31, 2014, Limited","Mar 10, 2016",$5.7M,2h 4m,Dolby Digital,,69%,"25,000+ Ratings",
48,Gloria Bell,2018,90%,https://www.rottentomatoes.com/m/gloria_bell,Sebastián Lelio,"Julianne Moore,John Turturro,Michael Cera,Brad Garrett",Sebastián Lelio,"Juan de Dios Larraín,Pablo Larraín,Sebastián Lelio",Sebastián Lelio,A24,Fabula,R (Nudity|Language|Sexuality|Some Drug Use),"Romance,Comedy",English,"Mar 22, 2019, Wide","May 21, 2019",$5.6M,1h 42m,,Scope (2.35:1),47%,500+ Ratings,
49,Red Rocket,2021,90%,https://www.rottentomatoes.com/m/red_rocket,Sean Baker,"Simon Rex,Suzanna Son,Bree Elrod,Brenda Deiss",Sean Baker,"Sean Baker,Alex Coco,Samantha Quan,Alex Saks,Shih-Ching Tsou","Sean Baker,Chris Bergoch",A24,"Cre Film,FilmNation Entertainment",R (Graphic Nudity|Drug Use|Pervasive Language|Strong Sexual Content),"Comedy,Drama",English,"Dec 3, 2021, Limited","Mar 1, 2022",$825.0K,2h 8m,,Scope (2.35:1),75%,500+ Ratings,
50,Lean on Pete,2017,90%,https://www.rottentomatoes.com/m/lean_on_pete,Andrew Haigh,"Charlie Plummer,Chloë Sevigny,Steve Zahn,Justin Rain",Andrew Haigh,Tristan Goligher,Andrew Haigh,A24,The Bureau,R (Language and Brief Violence),Drama,English (United Kingdom),"Apr 6, 2018, Limited","Jul 3, 2018",$1.2M,2h 2m,,Flat (1.85:1),74%,"1,000+ Ratings",
51,Obvious Child,2014,90%,https://www.rottentomatoes.com/m/obvious_child,Gillian Robespierre,"Jenny Slate,Jake Lacy,Gaby Hoffmann,Gabe Liedman",Gillian Robespierre,Elisabeth Holm,Gillian Robespierre,A24,"Rooks Nest Entertainment,Sundial Pictures",R (Sexual Content|Language),Comedy,English,"Jun 6, 2014, Limited","May 23, 2016",$3.1M,1h 23m,,,72%,"10,000+ Ratings",
52,The Souvenir Part II,2021,90%,https://www.rottentomatoes.com/m/the_souvenir_part_ii,Joanna Hogg,"Honor Swinton Byrne,Jaygann Ayeh,Tilda Swinton,Richard Ayoade",Joanna Hogg,"Ed Guiney,Joanna Hogg,Andrew Lowe,Emma Norton,Luke Schiller",Joanna Hogg,A24,"JWH Films,BBC Films,Element Pictures,BFI Film Fund,Protagonist Pictures",R (Some Strong Sexuality|Language),"Drama,Romance",English,"Oct 29, 2021, Limited","Mar 21, 2022",$26.0K,1h 46m,,,86%,Fewer than 50 Verified Ratings,
53,After Yang,2021,90%,https://www.rottentomatoes.com/m/after_yang,Kogonada,"Colin Farrell,Jodie Turner-Smith,Justin H. Min,Malea Emma Tjandrawidjaja",Kogonada,"Andrew Goldman,Caroline Kaplan,Paul Mezey,Theresa Park",Kogonada,A24,"Cinereach,Per Capita Productions,A24",PG (Some Thematic Elements|Language),"Sci-Fi,Drama",English,"Mar 4, 2022, Limited","Mar 4, 2022",,1h 41m,,Scope (2.35:1),69%,250+ Ratings,
54,The Souvenir,2019,90%,https://www.rottentomatoes.com/m/the_souvenir,Joanna Hogg,"Honor Swinton Byrne,Tom Burke,Tilda Swinton,Richard Ayoade",Joanna Hogg,"Joanna Hogg,Luke Schiller",Joanna Hogg,A24,"BBC Films,BFI Film Fund,Sikelia Productions",R (Language|Graphic Nudity|Drug Material|Some Sexuality),"Romance,Drama",English,"May 17, 2019, Limited","Jul 30, 2019",$1.0M,1h 59m,,,36%,500+ Ratings,
55,God's Creatures,2022,89%,https://www.rottentomatoes.com/m/gods_creatures,Saela Davis,"Emily Watson,Paul Mescal,Aisling Franciosi,Declan Conlon","Saela Davis,Anna Rose Holmer",Fodhla Cronin O'Reilly,"Shane Crowley,Fodhla Cronin O'Reilly",A24,"Screen Ireland,Nine Daughters,BBC Film,A24,WRAP Fund",R (Language),"Mystery & Thriller,Drama",English,"Sep 30, 2022, Limited","Sep 30, 2022",,1h 40m,,Scope (2.35:1),56%,50+ Ratings,
56,The Green Knight,2021,89%,https://www.rottentomatoes.com/m/the_green_knight,David Lowery,"Dev Patel,Alicia Vikander,Joel Edgerton,Sarita Choudhury",David Lowery,"Tim Headington,Toby Halbrooks,James M. Johnston,Theresa Steele Page",David Lowery,A24,"Wild Atlantic Pictures,Sailor Bear,A24,BRON Creative,Ley Line Entertainment,Creative Wealth Media Finance",R (Some Sexuality|Graphic Nudity|Violence),"Fantasy,Adventure",English,"Jul 30, 2021, Wide","Aug 19, 2021",$17.0M,2h 5m,Dolby Digital,Flat (1.85:1),50%,"1,000+ Verified Ratings","Dec 10, 2021"
57,The Iron Claw,2023,89%,https://www.rottentomatoes.com/m/the_iron_claw_2023,Sean Durkin,"Zac Efron,Jeremy Allen White,Harris Dickinson,Stanley Simons",Sean Durkin,"Tessa Ross,Juliette Howell,Angus Lamont,Sean Durkin,Derrin Schlesinger",Sean Durkin,A24,"BBC Film,House Productions,Access Entertainment",R (Language|Drug Use|Some Sexuality|Suicide),"Drama,Action,Biography,Sports",English,"Dec 22, 2023, Wide","Feb 13, 2024",$34.7M,2h 12m,Dolby Digital,Flat (1.85:1),94%,"1,000+ Verified Ratings",
58,All Dirt Roads Taste of Salt,2023,89%,https://www.rottentomatoes.com/m/all_dirt_roads_taste_of_salt,Raven Jackson,"Charleen McClure,Moses Ingram,Kaylee Nicole Johnson,Reginald Helms Jr.",Raven Jackson,"Maria Altamirano,Barry Jenkins,Adele Romanski,Mark Ceryak",Raven Jackson,A24,"Pastel,A24",PG (Brief Sensuality|Thematic Content),Drama,English,"Nov 3, 2023, Limited",,,1h 32m,,,60%,Fewer than 50 Ratings,
59,It Comes at Night,2017,88%,https://www.rottentomatoes.com/m/it_comes_at_night,Trey Edward Shults,"Joel Edgerton,Christopher Abbott,Carmen Ejogo,Riley Keough",Trey Edward Shults,"David Kaplan,Andrea Roa",Trey Edward Shults,A24,Animal Kingdom,R (Language|Disturbing Images|Violence),"Horror,Mystery & Thriller",English,"Jun 9, 2017, Wide","Jul 10, 2017",$14.0M,1h 37m,,Scope (2.35:1),44%,"10,000+ Ratings",
60,Zola,2020,88%,https://www.rottentomatoes.com/m/zola,Janicza Bravo,"Taylour Paige,Riley Keough,Nicholas Braun,Colman Domingo",Janicza Bravo,"Christine Vachon,David Hinojosa,Gia Walsh,Kara Baker,Vince Jolivette,Elizabeth Haggard,Dave Franco","Janicza Bravo,Jeremy O. Harris",A24,"Killer Films,Ramona Films,Gigi Films",R (Graphic Nudity|A Sexual Assault|Language Throughout|Strong Sexual Content|Violence),"Comedy,Mystery & Thriller,Drama",English,"Jun 30, 2021, Wide","Sep 14, 2021",,1h 27m,,Flat (1.85:1),68%,250+ Verified Ratings,
61,20th Century Women,2016,88%,https://www.rottentomatoes.com/m/20th_century_women,Mike Mills,"Annette Bening,Elle Fanning,Greta Gerwig,Billy Crudup",Mike Mills,"Anne Carey,Megan Ellison,Youree Henley",Mike Mills,A24,"Annapurna Pictures,Modern People,Archer Gray",R (Language|Brief Drug Use|Sexual Material|Some Nudity),"Comedy,Drama",English,"Jan 20, 2017, Wide","Apr 14, 2017",$5.7M,1h 58m,Dolby Digital,,74%,"10,000+ Ratings",
62,The Inspection,2022,88%,https://www.rottentomatoes.com/m/the_inspection,Elegance Bratton,"Jeremy Pope,Raúl Castillo,McCaul Lombardi,Aaron Dominguez",Elegance Bratton,"Chester Algernal Gordon,Effie Brown",Elegance Bratton,A24,"Gamechanger Films,Doco Digital,Freedom Principle",R (Sexual Content|Language Throughout|Some Nudity|Violence),"Drama,LGBTQ+",English,"Dec 2, 2022, Wide","Dec 22, 2022",$261.0K,1h 34m,,,91%,50+ Verified Ratings,
63,Showing Up,2022,88%,https://www.rottentomatoes.com/m/showing_up_2022,Kelly Reichardt,"Michelle Williams,Hong Chau,Maryann Plunkett,John Magaro",Kelly Reichardt,"Neil Kopp,Vincent Savino,Anish Savjani","Jonathan Raymond,Kelly Reichardt,Jonathan Raymond",A24,"Film Science,Digital One,A24",R (Brief Graphic Nudity),"Comedy,Drama",English,"Apr 7, 2023, Limited",,$63.0K,1h 48m,,,49%,100+ Ratings,
64,Problemista,2023,88%,https://www.rottentomatoes.com/m/problemista,Julio Torres,"Julio Torres,Tilda Swinton,RZA,Isabella Rossellini",Julio Torres,"Emma Stone,Dave McCary,Ali Herting",Julio Torres,A24,Fruit Tree,R (Sexual Content|Some Language),Comedy,English,"Mar 22, 2024, Wide","Apr 19, 2024",$2.1M,1h 38m,"Dolby Atmos,Dolby Digital",Scope (2.35:1),84%,50+ Verified Ratings,
65,Morris From America,2016,88%,https://www.rottentomatoes.com/m/morris_from_america,Chad Hartigan,"Craig Robinson,Carla Juri,Lina Keller,Markees Christmas",Chad Hartigan,"Martin Heisler,Adele Romanski,Sara Murphy,Gabriele Simon",Chad Hartigan,A24,Lichtblick Media,R (Sexual Material|Language Throughout|Brief Nudity|Teen Drug Use and Partying),"Comedy,Drama",English,"Aug 19, 2016, Limited","Apr 14, 2017",$88.9K,1h 31m,,,60%,"1,000+ Ratings",
66,The Lobster,2015,87%,https://www.rottentomatoes.com/m/the_lobster,Yorgos Lanthimos,"Colin Farrell,Rachel Weisz,Léa Seydoux,John C. Reilly",Yorgos Lanthimos,"Ed Guiney,Lee Magiday,Ceci Dempsey,Yorgos Lanthimos","Yorgos Lanthimos,Efthimis Filippou",A24,"Element Pictures,Scarlet Films",R (Sexual Content|Dialogue|Some Violence),"Romance,Comedy,Fantasy,Drama,Sci-Fi",English,"Jun 3, 2016, Wide","Jul 27, 2016",$9.1M,1h 58m,,,65%,"25,000+ Ratings",
67,Lamb,2021,86%,https://www.rottentomatoes.com/m/lamb_2021,Valdimar Jóhannsson,"Noomi Rapace,Hilmir Snær Guðnason,Björn Hlynur Haraldsson,Ingvar Eggert Sigurðsson",Valdimar Jóhannsson,"Peter Gustafsson,Hronn Kristinsdottir,Sara Nassim,Jan Naszewski,Erik Rydell,Klaudia Śmieja","Valdimar Jóhannsson,Sjón",A24,"Madants,Film i Väst,Black Spark Film & TV,Chimney Sweden,Rabbit Hole Productions,Chimney Poland,Go to Sheep",R (Some Bloody Violent Images|Sexuality/Nudity),"Horror,Fantasy,Mystery & Thriller",Icelandic,"Oct 8, 2021, Wide","Oct 28, 2021",$2.0M,1h 46m,,Scope (2.35:1),61%,100+ Verified Ratings,
68,Bodies Bodies Bodies,2022,85%,https://www.rottentomatoes.com/m/bodies_bodies_bodies,Halina Reijn,"Amandla Stenberg,Maria Bakalova,Myha'la Herrold,Chase Sui Wonders",Halina Reijn,"David Hinojosa,Ali Herting",Sarah DeLappe,A24,"A24,2AM",R (Drug Use|Bloody Images|Pervasive Language|Sexual References|Violence),"Mystery & Thriller,Horror,Comedy,Drama",English,"Aug 12, 2022, Wide",,$10.7M,1h 35m,,Scope (2.35:1),69%,500+ Verified Ratings,
69,Priscilla,2023,84%,https://www.rottentomatoes.com/m/priscilla,Sofia Coppola,"Cailee Spaeny,Jacob Elordi,Dagmara Domińczyk,Raine Monroe Boland",Sofia Coppola,"Sofia Coppola,Lorenzo Mieli,Youree Henley",Sofia Coppola,A24,"The Apartment,American Zoetrope",R (Drug Use and Some Language),"Drama,Romance,Biography,Music",English,"Nov 3, 2023, Wide","Dec 15, 2023",$20.2M,1h 53m,Dolby Digital,Flat (1.85:1),63%,500+ Verified Ratings,
70,Under the Skin,2013,84%,https://www.rottentomatoes.com/m/under_the_skin_2013,Jonathan Glazer,"Scarlett Johansson,Jeremy McWilliams,Lynsey Taylor Mackay,Dougie McConnell",Jonathan Glazer,"Nick Wechsler,James Wilson","Jonathan Glazer,Walter Campbell",A24,,R (Language|Graphic Nudity|Sexual Content|Some Violence),Sci-Fi,English,"Apr 4, 2014, Limited","Jun 25, 2014",$2.6M,1h 48m,,,55%,"25,000+ Ratings",
71,Waves,2019,84%,https://www.rottentomatoes.com/m/waves_2019,Trey Edward Shults,"Kelvin Harrison Jr.,Taylor Russell,Sterling K. Brown,Lucas Hedges",Trey Edward Shults,"Jim Wilson,Kevin Turen",Trey Edward Shults,A24,,R (Drug and Alcohol Use|Brief Violence|Language Throughout|Some Sexual Content),Drama,English,"Nov 15, 2019, Limited","Nov 15, 2019",$1.7M,2h 15m,,Flat (1.85:1),81%,250+ Verified Ratings,
72,While We're Young,2014,84%,https://www.rottentomatoes.com/m/while_were_young,Noah Baumbach,"Ben Stiller,Naomi Watts,Adam Driver,Amanda Seyfried",Noah Baumbach,"Scott Rudin,Noah Baumbach,Lila Yacoub,Eli Bush",Noah Baumbach,A24,IACF Films,R (Language),"Comedy,Drama",English,"Apr 10, 2015, Wide","Jun 30, 2016",$7.6M,1h 34m,,,51%,"10,000+ Ratings",
73,Oasis: Supersonic,2016,84%,https://www.rottentomatoes.com/m/oasis_supersonic,Mat Whitecross,"Noel Gallagher,Liam Gallagher,Paul Arthurs,Mark Coyle",Mat Whitecross,"James Gay-Rees,Simon Halfon,Fiona Neilson",,A24,"Nemperor,Mint Pictures,Lorton Entertainment,On the Corner Films Limited",R (Some Drug Material|Pervasive Language),"Documentary,Music",English (United Kingdom),"Oct 26, 2016, Limited","Dec 20, 2016",$226.3K,1h 57m,,,87%,"1,000+ Ratings","Jul 16, 2024"
74,Midsommar,2019,83%,https://www.rottentomatoes.com/m/midsommar,Ari Aster,"Florence Pugh,Jack Reynor,William Jackson Harper,Will Poulter",Ari Aster,"Patrik Andersson,Lars Knudsen",Ari Aster,A24,Square Peg,R (Drug Use|Disturbing Ritual Violence|Strong Sexual Content|Graphic Nudity|Grisly Images|Language),"Horror,Mystery & Thriller",English,"Jul 3, 2019, Wide","Sep 24, 2019",$27.4M,2h 25m,Dolby Digital,,63%,"5,000+ Verified Ratings",
75,The Hole in the Ground,2019,83%,https://www.rottentomatoes.com/m/the_hole_in_the_ground,Lee Cronin,"Seána Kerslake,James Quinn Markey,James Cosmo,Kati Outinen",Lee Cronin,"John Keville,Conor Barry","Lee Cronin,Stephen Shields",A24,"Metrol Technology,Savage Productions,Head Gear Films,Bankside Films,Wrong Men North",R (Some Disturbing Images),"Horror,Mystery & Thriller",English (United Kingdom),"Mar 1, 2019, Limited","Feb 26, 2019",,1h 30m,,Scope (2.35:1),48%,500+ Ratings,
76,Civil War,2024,81%,https://www.rottentomatoes.com/m/civil_war_2024,Alex Garland,"Kirsten Dunst,Wagner Moura,Cailee Spaeny,Stephen Henderson",Alex Garland,"Andrew Macdonald,Allon Reich,Gregory Goodman",Alex Garland,A24,"A24,DNA Films",R (Language Throughout|Bloody/Disturbing Images|Strong Violent Content),"Action,War,Mystery & Thriller,Drama",English,"Apr 12, 2024, Wide","May 24, 2024",$68.1M,1h 49m,"Dolby Atmos,Dolby Digital",Flat (1.85:1),70%,"1,000+ Verified Ratings",
77,High Life,2018,82%,https://www.rottentomatoes.com/m/high_life_2019,Claire Denis,"Robert Pattinson,Juliette Binoche,André Benjamin,Mia Goth",Claire Denis,"Oliver Dungey,Laurence Clerc,Olivier Thery-Lapiney,Christophe Friedel,D.J. Gugenheim,Andrew Lauren,Klaudia Śmieja,Claudia Steffen","Claire Denis,Geoff Cox,Jean-Pol Fargeau",A24,"Pandora Filmproduktion,arte France Cinéma,A24,Andrew Lauren Productions,Arte,Alcatraz Films,BFI Film Fund,Madants",R (Disturbing Violent Content|Disturbing Sexual Content|Graphic Nudity|Language|Sexual Assault),"Sci-Fi,Mystery & Thriller,Adventure",English,"Apr 5, 2019, Limited","Jun 11, 2019",$1.2M,1h 53m,,,42%,"1,000+ Ratings",
78,The Lovers,2017,82%,https://www.rottentomatoes.com/m/the_lovers_2017,Azazel Jacobs,"Debra Winger,Tracy Letts,Melora Walters,Aidan Gillen",Azazel Jacobs,"Chris Stinson,Ben LeClair",Azazel Jacobs,A24,A24,R (Sexuality and Language),"Romance,Comedy",English,"May 26, 2017, Wide","Jul 10, 2017",$2.2M,1h 34m,,,42%,"2,500+ Ratings",
79,Funny Pages,2022,82%,https://www.rottentomatoes.com/m/funny_pages,Owen Kline,"Daniel Zolghadri,Matt Maher,Miles Emanuel,Maria Dizzia",Owen Kline,"Josh Safdie,Benny Safdie,Sebastian Bear-McClard,Ronald Bronstein,Oscar Boyson,David Duque-Estrada",Owen Kline,A24,Elara Pictures,R (Graphic Nudity|Crude Sexual Content|Brief Violent Images|Language),Comedy,English,"Aug 26, 2022, Limited","Aug 26, 2022",$49.0K,1h 26m,,Flat (1.85:1),50%,50+ Ratings,
80,Mid90s,2018,81%,https://www.rottentomatoes.com/m/mid90s,Jonah Hill,"Sunny Suljic,Lucas Hedges,Na-kel Smith,Gio Galicia",Jonah Hill,"Scott Rudin,Eli Bush,Ken Kao,Jonah Hill,Lila Yacoub",Jonah Hill,A24,"A24,Waypoint Entertainment",R (Drug and Alcohol Use|Disturbing Images|Pervasive Language|Sexual Content|Some Violent Behavior),"Comedy,Drama",English,"Oct 26, 2018, Wide","Dec 21, 2018",$7.4M,1h 24m,,Academy (1.33:1),81%,"2,500+ Ratings",
81,American Honey,2016,80%,https://www.rottentomatoes.com/m/american_honey,Andrea Arnold,"Sasha Lane,Riley Keough,Shia LaBeouf,McCaul Lombardi",Andrea Arnold,"Lars Knudsen,Jay Van Hoy,Pouya Shahbazian,Alice Weinberg,Thomas Benski,Lucas Ochoa",Andrea Arnold,A24,"Parts & Labor,Pulse Films",R (Graphic Nudity|Drug/Alcohol Abuse|Language Throughout|Strong Sexual Content),"Comedy,Drama",English,"Sep 30, 2016, Limited","Dec 27, 2016",$662.8K,2h 42m,,,63%,"5,000+ Ratings",
82,The Killing of a Sacred Deer,2017,79%,https://www.rottentomatoes.com/m/the_killing_of_a_sacred_deer,Yorgos Lanthimos,"Bill Camp,Raffey Cassidy,Denise Dal Vera,Colin Farrell",Yorgos Lanthimos,"Ed Guiney,Yorgos Lanthimos","Yorgos Lanthimos,Efthimis Filippou",A24,Element Pictures,R (Disturbing Violent Content|Disturbing Sexual Content|Language|Some Graphic Nudity),"Mystery & Thriller,Horror",English,"Oct 20, 2017, Limited","Dec 19, 2017",$2.3M,2h 1m,,Flat (1.85:1),63%,"10,000+ Ratings",
83,The Monster,2016,79%,https://www.rottentomatoes.com/m/the_monster_2016,Bryan Bertino,"Zoe Kazan,Scott Speedman,Ella Ballentine,Aaron Douglas",Bryan Bertino,"William Green,Aaron L. Ginsburg,Bryan Bertino,Adrienne Biddle",Bryan Bertino,A24,Atlas Independent,R (Language|Some Violence/Terror),"Horror,Mystery & Thriller,Fantasy",English,"Nov 11, 2016, Limited","Mar 9, 2017",$12.1K,1h 31m,,,40%,"2,500+ Ratings",
84,Ginger & Rosa,2012,78%,https://www.rottentomatoes.com/m/ginger_and_rosa,Sally Potter,"Elle Fanning,Alice Englert,Alessandro Nivola,Christina Hendricks",Sally Potter,Christopher Sheppard,Sally Potter,A24,"Det Danske Filminstitut,Adventure Pictures,British Film Institute,BBC Films,Miso Film",PG-13 (Drinking|Disturbing Thematic Material|Smoking|Involving Teen Choices|Language|Sexuality),"Drama,LGBTQ+",English,"Mar 15, 2013, Limited","Oct 24, 2013",$1.0M,1h 30m,,,50%,"5,000+ Ratings",
85,Skin,2018,76%,https://www.rottentomatoes.com/m/skin,Guy Nattiv,"Jamie Bell,Danielle Macdonald,Daniel Henshall,Bill Camp",Guy Nattiv,,Guy Nattiv,A24,"Lost Lane Entertainment,Brookstreet Pictures,Come What May Productions,PaperChase Films,A24,The Searchers NV,TUGAWOOD Pictures,Sight Unseen Pictures,Maven Pictures,Hua Wen Movie Group,Code Entertainment,Item 7",R (Disturbing Violent Content|Brief Drug Use|Pervasive Language|Some Sexuality),"Biography,Drama",English,"Jul 26, 2019, Limited","Jul 23, 2019",,1h 58m,,,82%,250+ Ratings,
86,The Blackcoat's Daughter,2015,75%,https://www.rottentomatoes.com/m/the_blackcoats_daughter,Oz Perkins,"Emma Roberts,Kiernan Shipka,Lucy Boynton,James Remar",Oz Perkins,"Bryan Bertino,Adrienne Biddle,Alphonse Ghossein,Robert Menzies,Rob Paris",Oz Perkins,A24,"Zed Filmworks,120dB Films",R (Brutal Bloody Violence|Brief Strong Language),"Horror,Mystery & Thriller",English,"Mar 31, 2017, Limited","Mar 28, 2017",$20.0K,1h 33m,,,51%,"2,500+ Ratings",
87,Never Goin' Back,2018,76%,https://www.rottentomatoes.com/m/never_goin_back,Augustine Frizzell,"Maia Mitchell,Camila Morrone,Kyle Mooney,Joel Allen",Augustine Frizzell,"Liz Cardenas,Toby Halbrooks,David Lowery,James M. Johnston",Augustine Frizzell,A24,Sailor Bear,R (Drug Use|All Involving Teens|Crude Sexual Content|Brief Nudity|Language Throughout),Comedy,English,"Aug 3, 2018, Limited","Oct 2, 2018",$61.1K,1h 26m,,Scope (2.35:1),64%,250+ Ratings,
88,Into the Forest,2015,76%,https://www.rottentomatoes.com/m/into_the_forest,Patricia Rozema,"Elliot Page,Evan Rachel Wood,Max Minghella,Callum Keith Rennie",Patricia Rozema,"Elliot Page,Niv Fichman,Aaron L. Gilbert",Patricia Rozema,A24,"BRON Studios,Rhombus Media",R (Language|A Scene of Violence|Rape|Some Sexuality/Nudity),"Mystery & Thriller,Drama",English,"Jul 29, 2016, Limited","Jan 10, 2017",$6.4K,1h 41m,,Flat (1.85:1),43%,"5,000+ Ratings",
89,The Exception,2016,75%,https://www.rottentomatoes.com/m/the_exception,David Leveaux,"Lily James,Jai Courtney,Christopher Plummer,Eddie Marsan",David Leveaux,"Lou Pitt,Judy Tossell",Simon Burke,A24,Ostar Productions,R (Graphic Nudity|Brief Violence|Language|Sexuality),"History,Drama,War,Romance",English,"Jun 2, 2017, Limited","May 30, 2017",$708.0K,1h 47m,,,67%,"2,500+ Ratings",
