,Title,Release Year,RT_score,URL,Director,Cast,Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Sound Mix,Aspect Ratio,audience_score,number_audience_reviews,Rerelease Date (Theaters)
90,The Death of Dick Long,2019,74%,https://www.rottentomatoes.com/m/the_death_of_dick_long,Daniel Scheinert,"Michael Abbott Jr.,Virginia Newcomb,Andre Hyland,Sarah Baker",Daniel Scheinert,"Daniel Scheinert,Melodie Sisk,Jonathan Wang",Billy Chew,A24,A24,R (Brief Drug Use|Pervasive Language|Disturbing Sexual Material),"Comedy,Drama",English,"Sep 27, 2019, Limited","Sep 17, 2019",,1h 40m,,,86%,Fewer than 50 Verified Ratings,
91,Enemy,2013,72%,https://www.rottentomatoes.com/m/enemy_2013,Denis Villeneuve,"Jake Gyllenhaal,Mélanie Laurent,Isabella Rossellini,Sarah Gadon",Denis Villeneuve,"Niv Fichman,Miguel A. Faura",Javier Gullón,A24,,R (Language|Graphic Nudity|Some Strong Sexual Content),Mystery & Thriller,English,"Mar 14, 2014, Limited","Apr 22, 2014",$1.0M,1h 30m,,,64%,"25,000+ Ratings",
92,Medusa Deluxe,2022,72%,https://www.rottentomatoes.com/m/medusa_deluxe,Thomas Hardiman,"Anita-Joy Uwajeh,Clare Perkins,Darrell D'Silva,Debris Stevenson",Thomas Hardiman,"Michael Elliott,Lee Groombridge,Louise Palmkvist","Thomas Hardiman,Thomas Hardiman",A24,"BFI Films,BBC Film,EMU Films",,"Drama,Mystery & Thriller",English (United Kingdom),"Aug 11, 2023, Limited","Aug 11, 2023",,1h 40m,,,47%,Fewer than 50 Ratings,
93,I Saw the TV Glow,2024,86%,https://www.rottentomatoes.com/m/i_saw_the_tv_glow,Jane Schoenbrun,"Justice Smith,Brigette Lundy-Paine,Ian Foreman,Helena Howard",Jane Schoenbrun,"Emma Stone,Dave McCary,Ali Herting,Sam Intili,Sarah Winshall",Jane Schoenbrun,A24,A24,PG-13 (Violent Content|Some Sexual Material|Thematic Elements|Teen Smoking),"Sci-Fi,Horror,Drama,LGBTQ+,Mystery & Thriller",English,"May 17, 2024, Wide",,$2.9M,1h 40m,"Dolby Atmos,Dolby Digital",Flat (1.85:1),69%,100+ Verified Ratings,
94,The Ballad of Lefty Brown,2017,80%,https://www.rottentomatoes.com/m/the_ballad_of_lefty_brown,Jared Moshe,"Bill Pullman,Kathy Baker,Jim Caviezel,Tommy Flanagan",Jared Moshe,"Edward Parks,Neda Armian,Dan Burks,Jared Moshe",Jared Moshe,A24,Armian Pictures,R (Violence and Some Language),Western,English,"Dec 15, 2017, Limited","Dec 12, 2017",$5.6K,1h 51m,,,55%,500+ Ratings,
95,The Children Act,2017,74%,https://www.rottentomatoes.com/m/the_children_act,Richard Eyre,"Emma Thompson,Fionn Whitehead,Stanley Tucci,Ben Chaplin",Richard Eyre,Duncan Kenworthy,Ian McEwan,A24,Toledo Productions,R (A Sexual Reference),Drama,English (United Kingdom),"Sep 14, 2018, Limited","Sep 11, 2018",$432.5K,1h 45m,,Flat (1.85:1),63%,500+ Ratings,
96,Low Tide,2019,73%,https://www.rottentomatoes.com/m/low_tide_2018,Kevin McMullin,"Keean Johnson,Alex Neustaedter,Daniel Zolghadri,Kristine Froseth",Kevin McMullin,"Rian Cahill,Brian Kavanaugh-Jones,Brendan McHugh,Richard Peete",Kevin McMullin,A24,"Automatik Entertainment,Neighborhood Watch",R (Language|Teen Drug Use|Some Violence),Drama,English,"Oct 4, 2019, Limited","Sep 10, 2019",,1h 26m,,,65%,50+ Ratings,
97,Swiss Army Man,2016,72%,https://www.rottentomatoes.com/m/swiss_army_man,Daniel Scheinert,"Paul Dano,Daniel Radcliffe,Mary Elizabeth Winstead,Antonia Ribero","Daniel Scheinert,Dan Kwan","Jonathan Wang,Lawrence Inglee,Miranda Bailey,Amanda Marshall,Eyal Rimmon,Lauren Mann","Daniel Scheinert,Dan Kwan",A24,"Blackbird Productions,Tadmor,Cold Iron Pictures",R (Language and Sexual Material),"Comedy,Adventure,Fantasy",English,"Jul 1, 2016, Wide","Sep 23, 2016",$4.3M,1h 35m,Dolby Atmos,,72%,"10,000+ Ratings",
98,The Kill Team,2019,70%,https://www.rottentomatoes.com/m/the_kill_team_2019,Dan Krauss,"Nat Wolff,Alexander Skarsgård,Adam Long,Jonathan Whitesell",Dan Krauss,"Adrián Guerra,Wyck Godfrey,Marty Bowen",Dan Krauss,A24,"Mongrel Media,Nostromo Pictures,A24,Temple Hill Entertainment",R (Language Throughout|Drug Use|Violent Content),"War,Drama",English,"Oct 25, 2019, Limited","Oct 22, 2019",,1h 27m,,Scope (2.35:1),42%,100+ Ratings,
99,Men,2022,69%,https://www.rottentomatoes.com/m/men_2022,Alex Garland,"Jessie Buckley,Rory Kinnear,Paapa Essiedu,Gayle Rankin",Alex Garland,"Andrew Macdonald,Allon Reich,Scott Rudin,Eli Bush",Alex Garland,A24,"A24,DNA Films",R (Graphic Nudity|Disturbing and Violent Content|Grisly Images|Language),"Horror,Drama,Sci-Fi",English (United Kingdom),"May 20, 2022, Wide","Aug 9, 2022",$7.4M,1h 40m,Dolby Digital,Flat (1.85:1),39%,250+ Verified Ratings,
100,Free Fire,2016,69%,https://www.rottentomatoes.com/m/free_fire,Ben Wheatley,"Sharlto Copley,Armie Hammer,Brie Larson,Cillian Murphy",Ben Wheatley,Andrew Starke,"Amy Jump,Ben Wheatley",A24,Rook Films,R (Pervasive Language|Drug Use|Sexual References|Strong Violence),"Action,Comedy",English,"Apr 21, 2017, Wide","Jul 4, 2017",$1.8M,1h 26m,,Scope (2.35:1),52%,"5,000+ Ratings",
101,Climax,2018,69%,https://www.rottentomatoes.com/m/climax,Gaspar Noé,"Sofia Boutella,Romain Guillermic,Souheila Yacoub,Kiddy Smile",Gaspar Noé,"Edouard Weil,Vincent Maraval,Brahim Chioua,Richard Grandpierre",Gaspar Noé,A24,"arte France Cinéma,Eskwad,Wild Bunch,Les Cinémas de la Zone,Rectangle Productions,KNM",R (Disturbing Content|A Combination of Drug Use|Violent Behavior|Language|Some Graphic Nudity|Strong Sexuality),"Drama,Music,Horror",French (France),"Mar 1, 2019, Limited","May 7, 2019",$813.8K,1h 35m,,Scope (2.35:1),66%,"1,000+ Ratings",
102,Remember,2015,69%,https://www.rottentomatoes.com/m/remember_2016,Atom Egoyan,"Christopher Plummer,Martin Landau,Henry Czerny,Dean Norris",Atom Egoyan,"Robert Lantos,Ari Lantos",Benjamin August,A24,Serendipity Point Films,R (Language|A Sequence of Violence),"Mystery & Thriller,Drama",English,"Mar 11, 2016, Limited","Aug 15, 2016",$1.2M,1h 35m,,,79%,"2,500+ Ratings",
103,The Rover,2014,68%,https://www.rottentomatoes.com/m/the_rover,David Michôd,"Guy Pearce,Robert Pattinson,Scoot McNairy,David Field",David Michôd,"Liz Watts,David Linde,David Michôd",David Michôd,A24,"Porchlight Films,Lava Bear Films",R (Some Bloody Violence|Language),"Drama,Mystery & Thriller",English,"Jun 20, 2014, Wide","Dec 23, 2014",$1.1M,1h 42m,Dolby Digital,,51%,"10,000+ Ratings",
104,Spring Breakers,2012,68%,https://www.rottentomatoes.com/m/spring_breakers_2013,Harmony Korine,"James Franco,Vanessa Hudgens,Selena Gomez,Ashley Benson",Harmony Korine,"Charles-Marie Anthonioz,Jordan Gertner,Chris Hanley,David Zander",Harmony Korine,A24,"Muse Productions,Radar Pictures,Rabbit Bandini Productions",R (Language|Drug Use|Nudity|Strong Sexual Content|Violence Throughout),"Comedy,Crime,Drama",English,"Mar 15, 2013, Limited","Aug 18, 2016",$14.1M,1h 34m,,,38%,"50,000+ Ratings",
105,Beau Is Afraid,2023,67%,https://www.rottentomatoes.com/m/beau_is_afraid,Ari Aster,"Joaquin Phoenix,Nathan Lane,Amy Ryan,Parker Posey",Ari Aster,"Lars Knudsen,Ari Aster",Ari Aster,A24,"MTL Grandé Studios,A24,IPR.VC,Access Entertainment,Square Peg",R (Graphic Nudity|Drug Use|Language|Sexual Content|Strong Violent Content),"Adventure,Horror,Mystery & Thriller,Comedy,Drama",English,"Apr 21, 2023, Wide","Jun 13, 2023",$8.1M,2h 59m,Dolby Digital,Flat (1.85:1),71%,250+ Verified Ratings,
106,Dicks: The Musical,2023,68%,https://www.rottentomatoes.com/m/dicks_the_musical,Larry Charles,"Megan Mullally,Nathan Lane,Megan Thee Stallion,Bowen Yang",Larry Charles,"Peter Chernin,Kori Adelson,Larry Charles","Aaron Jackson,Josh Sharp",A24,Chernin Entertainment,R (Pervasive Language|Graphic Nudity|Brief Drug Use|Strong Crude Sexual Content),"Musical,Comedy",English,"Oct 20, 2023, Wide","Nov 10, 2023",$1.2M,1h 26m,,,66%,50+ Verified Ratings,
107,Laggies,2014,65%,https://www.rottentomatoes.com/m/laggies,Lynn Shelton,"Keira Knightley,Chloë Grace Moretz,Sam Rockwell,Ellie Kemper",Lynn Shelton,"Steve Golin,Alix Madigan,Rosalie Swedlin,Myles Nestel",Andrea Seigel,A24,"Anonymous Content,The Solution Entertainment Group",R (Some Sexual Material|Language|Teen Partying),"Comedy,Drama,Romance",English,"Oct 24, 2014, Wide","Aug 15, 2016",$440.3K,1h 40m,,,50%,"5,000+ Ratings",
108,The Whale,2022,64%,https://www.rottentomatoes.com/m/the_whale_2022,Darren Aronofsky,"Brendan Fraser,Sadie Sink,Hong Chau,Ty Simpkins",Darren Aronofsky,,Samuel D. Hunter,A24,Protozoa Pictures,R (Sexual Content|Language|Some Drug Use),Drama,English,"Dec 21, 2022, Wide","Feb 21, 2023",$17.2M,1h 57m,Dolby Digital,,91%,"1,000+ Verified Ratings",
109,Stars at Noon,2022,63%,https://www.rottentomatoes.com/m/stars_at_noon,Claire Denis,"Margaret Qualley,Joe Alwyn,Danny Ramirez,Benny Safdie",Claire Denis,Olivier Delbosc,"Claire Denis,Andrew Litvack,Léa Mysius,Denis Johnson",A24,"September Film Distribution,Ad Vitam,Arte France Cinema,Curiosa Films,Barnstormer Productions,Hypatia Films",R (Nudity|Language|Sexual Content|Some Violence),"Drama,Mystery & Thriller,Romance",English,"Oct 14, 2022, Limited","Oct 14, 2022",$36.0K,2h 17m,Digital 5.1,Digital 2.39:1,14%,Fewer than 50 Verified Ratings,
110,When You Finish Saving the World,2022,62%,https://www.rottentomatoes.com/m/when_you_finish_saving_the_world,Jesse Eisenberg,"Julianne Moore,Finn Wolfhard,Billy Bryk,Alisha Boe",Jesse Eisenberg,"Ali Herting,Dave McCary,Emma Stone",Jesse Eisenberg,A24,"CAA Media Finance,Universal Films,Fruit Tree Media",R (Language),"Comedy,Drama",English,"Jan 20, 2023, Wide",,,1h 28m,Dolby Digital,Flat (1.85:1),73%,Fewer than 50 Verified Ratings,
111,Son of a Gun,2014,62%,https://www.rottentomatoes.com/m/son_of_a_gun_2015,Julius Avery,"Brenton Thwaites,Ewan McGregor,Alicia Vikander,Matt Nable",Julius Avery,Timothy White,Julius Avery,,Southern Light,R (Language Throughout|Drug Use|Nudity|Some Sexuality|Violence),"Mystery & Thriller,Crime,Drama",English (United Kingdom),,"Dec 1, 2015",,1h 48m,,,63%,"5,000+ Ratings",
112,The Bling Ring,2013,60%,https://www.rottentomatoes.com/m/the_bling_ring_2013,Sofia Coppola,"Israel Broussard,Katie Chang,Taissa Farmiga,Claire Julien",Sofia Coppola,"Youree Henley,Roman Coppola,Sofia Coppola",Sofia Coppola,A24,"American Zoetrope,Nala Films",R (Some Sexual References|Language|Teen Drug and Alcohol Use),"Crime,Drama,Comedy",English,"Jun 14, 2013, Limited","Aug 30, 2016",$5.8M,1h 30m,,,33%,"25,000+ Ratings",
113,Under the Silver Lake,2018,59%,https://www.rottentomatoes.com/m/under_the_silver_lake,David Robert Mitchell,"Andrew Garfield,Riley Keough,Topher Grace,Patrick Fischler",David Robert Mitchell,"Chris Bender,Michael De Luca,Adele Romanski,Jake Weiner",David Robert Mitchell,A24,"Salem Street Entertainment,A24,Pastel,Vendian Entertainment,Mongrel Media",R (Language Throughout|Graphic Nudity|Some Drug Use|Strong Sexual Content|Violence),"Mystery & Thriller,Comedy",English,"Apr 19, 2019, Limited","Apr 23, 2019",$35.3K,2h 19m,,Scope (2.35:1),59%,500+ Ratings,
114,Woman Walks Ahead,2017,59%,https://www.rottentomatoes.com/m/woman_walks_ahead,Susanna White,"Jessica Chastain,Michael Greyeyes,Ciarán Hinds,Sam Rockwell",Susanna White,"Andrea Calderwood,Marshall Herskovitz,Erika Olde,Richard Solomon,Edward Zwick",Steven Knight,A24,"Lipsync Productions,Black Bicycle Entertainment,Potboiler Productions,The Bedford Falls Company",R (Brief Violence and Language),"Western,History,Drama",English,"Jun 29, 2018, Limited","Jun 26, 2018",$34.5K,1h 42m,,,62%,250+ Ratings,
115,The Last Movie Star,2017,59%,https://www.rottentomatoes.com/m/the_last_movie_star,Adam Rifkin,"Burt Reynolds,Ariel Winter,Chevy Chase,Clark Duke",Adam Rifkin,"Brian Cavallaro,Neil Mandt,Adam Rifkin,Gordon Whitener",Adam Rifkin,,Broken Twig Productions Inc.,,"Comedy,Drama",English,,"Mar 27, 2018",$8.0K,1h 47m,,,73%,250+ Ratings,
116,Trespass Against Us,2016,57%,https://www.rottentomatoes.com/m/trespass_against_us_2017,Adam Smith,"Michael Fassbender,Brendan Gleeson,Sean Harris,Lyndsey Marshal",Adam Smith,"Andrea Calderwood,Gail Egan,Alastair Siddons",Alastair Siddons,A24,"Potboiler Productions,Film4",R (Pervasive Language|Brief Graphic Nudity|Some Disturbing Behavior),"Crime,Drama,Mystery & Thriller",English,"Jan 20, 2017, Limited","Feb 16, 2017",,1h 40m,,,26%,"1,000+ Ratings",
117,Slice,2018,52%,https://www.rottentomatoes.com/m/slice_2018,Austin Vesely,"Zazie Beetz,Chance the Rapper,Rae Gray,Marilyn Dodds Frank",Austin Vesely,"Brandon Riley,Kevin McGrail",Austin Vesely,A24,A24,R (Some Drug Material|Bloody Violence|Nude Images|Language),"Horror,Comedy",English,"Sep 10, 2018, Limited","Sep 11, 2018",,1h 23m,,,34%,250+ Ratings,
118,How to Talk to Girls at Parties,2017,48%,https://www.rottentomatoes.com/m/how_to_talk_to_girls_at_parties,John Cameron Mitchell,"Elle Fanning,Alex Sharp,Nicole Kidman,Ruth Wilson",John Cameron Mitchell,"Iain Canning,Howard Gertler,John Cameron Mitchell,Emile Sherman","Philippa Goslett,John Cameron Mitchell",A24,"Little Punk,See-Saw Films",R (Sexual Content|Nudity|Language Throughout|Some Drug Use),"Romance,Sci-Fi",English,"May 25, 2018, Limited","Jun 5, 2018",$80.4K,1h 42m,,,40%,500+ Ratings,
119,Tusk,2014,46%,https://www.rottentomatoes.com/m/tusk_2014,Kevin Smith,"Michael Parks,Justin Long,Haley Joel Osment,Genesis Rodriguez",Kevin Smith,"Shannon McIntosh,Sam Englebardt,William D. Johnson,David S. Greathouse",Kevin Smith,A24,"Demarest Films,SModcast Pictures,XYZ Films",R (Language|Gore|Sexual Content|Some Disturbing Violence),Horror,English,"Sep 19, 2014, Wide","Aug 15, 2016",$1.8M,1h 41m,,,36%,"10,000+ Ratings",
120,Life After Beth,2014,45%,https://www.rottentomatoes.com/m/life_after_beth,Jeff Baena,"Aubrey Plaza,Dane DeHaan,John C. Reilly,Molly Shannon",Jeff Baena,"Michael Zakin,Liz Destro",Jeff Baena,A24,"StarStream Entertainment,American Zoetrope,Abbolita Productions",R (Nudity|Brief Drug Use|Pervasive Language|Sexual Content|Some Horror Violence),"Comedy,Horror",English,"Aug 15, 2014, Limited","May 23, 2016",$80.3K,1h 30m,,,31%,"5,000+ Ratings",
121,Hot Summer Nights,2017,44%,https://www.rottentomatoes.com/m/hot_summer_nights,Elijah Bynum,"Timothée Chalamet,Alex Roe,Maika Monroe,Maia Mitchell",Elijah Bynum,"Dan Friedkin,Ryan Friedkin,Bradley Thomas",Elijah Bynum,A24,Imperative Entertainment,R (Sexual References|Language Throughout|Drug Content|Some Strong Violence),"Mystery & Thriller,Romance,Drama",English,"Jul 27, 2018, Limited","Jul 24, 2018",,1h 47m,,,58%,500+ Ratings,
122,Backstabbing for Beginners,2018,39%,https://www.rottentomatoes.com/m/backstabbing_for_beginners,Per Fly,"Ben Kingsley,Theo James,Jacqueline Bisset,Belçim Bilgin",Per Fly,"Malene Blenkov,Lars Knudsen,Jay Van Hoy,Daniel Bekerman,Nikolaj Vibe Michelsen","Per Fly,Daniel Pyne,Michael Soussan",A24,"Creative Alliance,A24",R (Some Violence|Language Throughout),"Mystery & Thriller,Drama",English,"Apr 27, 2018, Limited","Jun 24, 2018",,1h 48m,,,52%,100+ Ratings,
123,Cut Bank,2014,37%,https://www.rottentomatoes.com/m/cut_bank,Matt Shakman,"Liam Hemsworth,Teresa Palmer,John Malkovich,Billy Bob Thornton",Matt Shakman,"Mickey Barold,Laurette Bourassa,Dan Cohen,Mark C. Manuel",Roberto Patino,,"Untitled Entertainment,MT Media",R (Violence|Language),Mystery & Thriller,English,,"May 21, 2016",,1h 29m,,,29%,"1,000+ Ratings",
124,Equals,2015,36%,https://www.rottentomatoes.com/m/equals_2016,Drake Doremus,"Kristen Stewart,Nicholas Hoult,Guy Pearce,Bel Powley",Drake Doremus,"Michael Schaefer,Michael A. Pruss,Ann Ruark,Chip Diggins,Jay Stern",Nathan Parker,A24,"E1 Entertainment,Scott Free Productions,Union Investment Partners,Route One Entertainment",PG-13 (Partial Nudity|Disturbing Images|Sensuality|Thematic Content),"Sci-Fi,Romance,Drama",English,"Jul 15, 2016, Limited","Nov 18, 2016",$32.1K,1h 41m,,,42%,"2,500+ Ratings",
125,Outlaws,2017,33%,https://www.rottentomatoes.com/m/outlaws_2019,Stephen McCallum,"Ryan Corr,Abbey Lee,Simone Kessell,Josh McConville",Stephen McCallum,"Jamie Hilton,Michael Pontin",Matt Nable,,See Pictures,R (Sexual Content/Nudity|Pervasive Language|Brief Drug Use|Strong Violence Including Rape),"Crime,Drama",English (Australia),,"Jan 29, 2019",,1h 32m,,,30%,Fewer than 50 Ratings,
126,Mojave,2015,32%,https://www.rottentomatoes.com/m/mojave_2016,William Monahan,"Oscar Isaac,Garrett Hedlund,Louise Bourgoin,Walton Goggins",William Monahan,"William Green,William Monahan,Justine Suzanne Jones,Aaron L. Ginsburg",William Monahan,A24,"MICA Entertainment,Atlas Independent,Relativity International,Henceforth Pictures",R (Some Violence|Language),Mystery & Thriller,English,"Jan 22, 2016, Limited","May 23, 2016",,1h 33m,Dolby Digital,,30%,250+ Ratings,
127,Woodshock,2017,29%,https://www.rottentomatoes.com/m/woodshock_2017,Kate Mulleavy,"Kirsten Dunst,Pilou Asbæk,Joe Cole,Jack Kilmer","Kate Mulleavy,Laura Mulleavy","Ben LeClair,K.K. Barrett,Ken Kao,Michael Costigan","Kate Mulleavy,Laura Mulleavy",A24,"COTA Films,Waypoint Entertainment",R (Drug Use|A Scene of Violence|Language),Drama,English,"Sep 22, 2017, Limited","Nov 21, 2017",$41.1K,1h 41m,,Scope (2.35:1),24%,"1,000+ Ratings",
128,The Captive,2014,28%,https://www.rottentomatoes.com/m/the_captive_2014,Atom Egoyan,"Ryan Reynolds,Rosario Dawson,Mireille Enos,Scott Speedman",Atom Egoyan,"Atom Egoyan,Simone Urdl,Jennifer Weiss,Stephen Traynor","Atom Egoyan,David Fraser",A24,Ego Film Arts,R (Some Violence|Language),Mystery & Thriller,English,"Dec 12, 2014, Limited","Jun 27, 2015",,1h 52m,,,35%,100+ Ratings,
129,Barely Lethal,2015,26%,https://www.rottentomatoes.com/m/barely_lethal,Kyle Newman,"Hailee Steinfeld,Jessica Alba,Samuel L. Jackson,Sophie Turner",Kyle Newman,"Brett Ratner,John Cheng,Sukee Chew,Vanessa Coifman,Ted Hartley",John D'Arco,A24,RKO Pictures,PG-13 (Language|Drug References|Sexual Material|Some Action Violence|Teen Drinking),"Action,Comedy",English,"May 29, 2015, Limited","Aug 10, 2016",,1h 36m,,,38%,"2,500+ Ratings",
130,The Adderall Diaries,2015,25%,https://www.rottentomatoes.com/m/the_adderall_diaries,Pamela Romanowsky,"James Franco,Ed Harris,Amber Heard,Cynthia Nixon",Pamela Romanowsky,"Vince Jolivette,James Franco,James Reach,Joseph McKelheer,Marni Zelnick",Pamela Romanowsky,A24,,R (Language Throughout|Drug Use|Sexuality|Some Aberrant Content|Some Disturbing Content),Drama,English,"Apr 15, 2016, Limited","Aug 15, 2016",$11.3K,1h 27m,,,26%,500+ Ratings,
131,Dark Places,2015,23%,https://www.rottentomatoes.com/m/dark_places_2015,Gilles Paquet-Brenner,"Charlize Theron,Nicholas Hoult,Chloë Grace Moretz,Tye Sheridan",Gilles Paquet-Brenner,"Azim Bolkiah,A.J. Dix,Matt Jackson,Beth Kono,Matthew Rhodes",Gilles Paquet-Brenner,A24,"Cuatro Plus Films,Exclusive Media Group,Denver and Delilah Productions,Mandalay Pictures,Source Investments B.V.",R (Language|Drug Use|Sexual Contact|Some Disturbing Violence),Mystery & Thriller,English,"Aug 7, 2015, Limited","Aug 5, 2016",$195.5K,1h 43m,,,33%,"5,000+ Ratings",
132,The Sea of Trees,2015,17%,https://www.rottentomatoes.com/m/the_sea_of_trees,Gus Van Sant,"Matthew McConaughey,Ken Watanabe,Naomi Watts,Katie Aselton",Gus Van Sant,"Gil Netter,Ken Kao,Kevin Halloran,F. Gary Gray,E. Brian Dobbins,Allen Fischer,Chris Sparling",Chris Sparling,A24,"Gil Netter,Waypoint Entertainment",PG-13 (Some Disturbing Images|Mature Thematic Material|Brief Strong Language),Drama,English,"Aug 26, 2016, Limited","Mar 12, 2017",$14.0K,1h 50m,Dolby Digital,,43%,"1,000+ Ratings",
133,A Glimpse Inside the Mind of Charles Swan III,2012,16%,https://www.rottentomatoes.com/m/a_glimpse_inside_the_mind_of_charles_swan_iii,Roman Coppola,"Charlie Sheen,Jason Schwartzman,Bill Murray,Patricia Arquette",Roman Coppola,"Roman Coppola,Youree Henley",Roman Coppola,"A24,American Zoetrope",American Zoetrope,R (Some Nudity|Language),"Comedy,Drama",English,"Feb 8, 2013, Limited","May 8, 2014",,1h 25m,Dolby Digital,,25%,"2,500+ Ratings",
134,Revenge of the Green Dragons,2014,15%,https://www.rottentomatoes.com/m/revenge_of_the_green_dragons,Andrew Lau Wai-Keung,"Justin Chon,Kevin Wu,Harry Shum Jr.,Shuya Chang","Andrew Lau Wai-Keung,Andrew Loo","Stuart Ford,Andrew Lau Wai-Keung,Allen Bain,Jesse Scolaro,Ara Katz","Michael Di Jiacomo,Andrew Loo",A24,"7th Floor,Initial A Entertainment",R (Sexual Assault|Pervasive Language|Sexual Content|Some Drug Use|Strong Violence),"Action,Crime,Drama",English,"Oct 24, 2014, Limited","Apr 14, 2015",,1h 34m,,,30%,"1,000+ Ratings",
135,The Vanishing of Sidney Hall,2017,11%,https://www.rottentomatoes.com/m/the_vanishing_of_sidney_hall,Shawn Christensen,"Kyle Chandler,Logan Lerman,Elle Fanning,Blake Jenner",Shawn Christensen,Jonathan Schwartz,"Shawn Christensen,Jason Dolan",A24,Super Crispy Entertainment,R (Some Sexual References|Language),"Mystery & Thriller,Drama",English,"Mar 2, 2018, Limited","Mar 2, 2018",,1h 59m,,,77%,500+ Ratings,
