,Title,Release Year,Rating,URL,Director,Cast,Audience Score,Genre,Duration,Box Office,Production Co
67,Lamb,2021,R (Some Bloody Violent Images|Sexuality/Nudity),https://www.rottentomatoes.com/m/lamb_2021,Valdimar Jóhannsson,"Noomi Rapace,Hilmir Snær Guðnason,Björn Hlynur Haraldsson,Ingvar Eggert Sigurðsson",61,Horror/Fantasy,1h46m,$2.0M,"Madants, 
                            
                            Film i Väst, 
                            
                            Black Spark Film & TV, 
                            
                            Chimney Sweden, 
                            
                            Rabbit Hole Productions, 
                            
                            Chimney Poland, 
                            
                            Go to Sheep"
68,Bodies Bodies Bodies,2022,R (Drug Use|Bloody Images|Pervasive Language|Sexual References|Violence),https://www.rottentomatoes.com/m/bodies_bodies_bodies,Halina Reijn,"Amandla Stenberg,Maria Bakalova,Myha'la Herrold,Chase Sui Wonders",69,Mystery&thriller/Horror,1h35m,$10.7M,"2AM, 
                            
                            A24"
69,Under the Skin,2013,R (Language|Graphic Nudity|Sexual Content|Some Violence),https://www.rottentomatoes.com/m/under_the_skin_2013,Jonathan Glazer,"Scarlett Johansson,Jeremy McWilliams,Lynsey Taylor Mackay,Dougie McConnell",55,Sci-fi,1h48m,$2.6M,
70,Waves,2019,R (Drug and Alcohol Use|Brief Violence|Language Throughout|Some Sexual Content),https://www.rottentomatoes.com/m/waves_2019,Trey Edward Shults,"Kelvin Harrison Jr.,Taylor Russell,Sterling K. Brown,Lucas Hedges",81,Drama,2h15m,$1.7M,
71,Oasis: Supersonic,2016,R (Some Drug Material|Pervasive Language),https://www.rottentomatoes.com/m/oasis_supersonic,Mat Whitecross,"Noel Gallagher,Liam Gallagher,Paul Arthurs,Mark Coyle",87,Documentary/Music,1h57m,$226.3K,"Nemperor, 
                            
                            Mint Pictures, 
                            
                            Lorton Entertainment, 
                            
                            On the Corner Films Limited"
72,Priscilla,2023,R (Drug Use and Some Language),https://www.rottentomatoes.com/m/priscilla,Sofia Coppola,"Cailee Spaeny,Jacob Elordi,Dagmara Domińczyk,Raine Monroe Boland",63,Drama/Romance,1h53m,$20.2M,"The Apartment, 
                            
                            American Zoetrope"
73,While We're Young,2014,R (Language),https://www.rottentomatoes.com/m/while_were_young,Noah Baumbach,"Ben Stiller,Naomi Watts,Adam Driver,Amanda Seyfried",51,Comedy/Drama,1h34m,$7.6M,IACF Films
74,Midsommar,2019,,https://www.rottentomatoes.com/m/midsommar,Ari Aster,"Florence Pugh,Jack Reynor,William Jackson Harper,Will Poulter",,,,,
75,The Hole in the Ground,2019,R (Some Disturbing Images),https://www.rottentomatoes.com/m/the_hole_in_the_ground,Lee Cronin,"Seána Kerslake,James Quinn Markey,James Cosmo,Kati Outinen",48,Horror/Mystery&thriller,1h30m,,"Metrol Technology, 
                            
                            Savage Productions, 
                            
                            Head Gear Films, 
                            
                            Bankside Films, 
                            
                            Wrong Men North"
76,Funny Pages,2022,R (Graphic Nudity|Crude Sexual Content|Brief Violent Images|Language),https://www.rottentomatoes.com/m/funny_pages,Owen Kline,"Daniel Zolghadri,Matt Maher,Miles Emanuel,Maria Dizzia",51,Comedy,1h26m,$49.0K,Elara Pictures
77,High Life,2018,R (Disturbing Violent Content|Disturbing Sexual Content|Graphic Nudity|Language|Sexual Assault),https://www.rottentomatoes.com/m/high_life_2019,Claire Denis,"Robert Pattinson,Juliette Binoche,André Benjamin,Mia Goth",42,Sci-fi/Mystery&thriller,1h53m,$1.2M,"Pandora Filmproduktion, 
                            
                            arte France Cinéma, 
                            
                            A24, 
                            
                            Andrew Lauren Productions, 
                            
                            Arte, 
                            
                            Alcatraz Films, 
                            
                            BFI Film Fund, 
                            
                            Madants"
78,The Lovers,2017,R (Sexuality and Language),https://www.rottentomatoes.com/m/the_lovers_2017,Azazel Jacobs,"Debra Winger,Tracy Letts,Melora Walters,Aidan Gillen",42,Romance/Comedy,1h34m,$2.2M,A24
79,Mid90s,2018,R (Drug and Alcohol Use|Disturbing Images|Pervasive Language|Sexual Content|Some Violent Behavior),https://www.rottentomatoes.com/m/mid90s,Jonah Hill,"Sunny Suljic,Lucas Hedges,Na-kel Smith,Gio Galicia",81,Comedy/Drama,1h24m,$7.4M,"A24, 
                            
                            Waypoint Entertainment"
80,American Honey,2016,R (Graphic Nudity|Drug/Alcohol Abuse|Language Throughout|Strong Sexual Content),https://www.rottentomatoes.com/m/american_honey,Andrea Arnold,"Sasha Lane,Riley Keough,Shia LaBeouf,McCaul Lombardi",63,Comedy/Drama,2h42m,$662.8K,"Parts & Labor, 
                            
                            Pulse Films"
81,The Monster,2016,R (Language|Some Violence/Terror),https://www.rottentomatoes.com/m/the_monster_2016,Bryan Bertino,"Zoe Kazan,Scott Speedman,Ella Ballentine,Aaron Douglas",40,Horror/Mystery&thriller,1h31m,$12.1K,Atlas Independent
82,The Killing of a Sacred Deer,2017,R (Disturbing Violent Content|Disturbing Sexual Content|Language|Some Graphic Nudity),https://www.rottentomatoes.com/m/the_killing_of_a_sacred_deer,Yorgos Lanthimos,"Bill Camp,Raffey Cassidy,Denise Dal Vera,Colin Farrell",63,Mystery&thriller/Horror,2h1m,$2.3M,Element Pictures
83,Ginger & Rosa,2012,PG-13 (Drinking|Disturbing Thematic Material|Smoking|Involving Teen Choices|Language|Sexuality),https://www.rottentomatoes.com/m/ginger_and_rosa,Sally Potter,"Elle Fanning,Alice Englert,Alessandro Nivola,Christina Hendricks",50,Drama/Lgbtq+,1h30m,$1.0M,"Det Danske Filminstitut, 
                            
                            Adventure Pictures, 
                            
                            British Film Institute, 
                            
                            BBC Films, 
                            
                            Miso Film"
84,Skin,2018,R (Disturbing Violent Content|Brief Drug Use|Pervasive Language|Some Sexuality),https://www.rottentomatoes.com/m/skin,Guy Nattiv,"Jamie Bell,Danielle Macdonald,Daniel Henshall,Bill Camp",83,Biography/Drama,1h58m,,"Lost Lane Entertainment, 
                            
                            Brookstreet Pictures, 
                            
                            Come What May Productions, 
                            
                            PaperChase Films, 
                            
                            A24, 
                            
                            The Searchers NV, 
                            
                            TUGAWOOD Pictures, 
                            
                            Sight Unseen Pictures, 
                            
                            Maven Pictures, 
                            
                            Hua Wen Movie Group, 
                            
                            Code Entertainment, 
                            
                            Item 7"
85,Never Goin' Back,2018,R (Drug Use|All Involving Teens|Crude Sexual Content|Brief Nudity|Language Throughout),https://www.rottentomatoes.com/m/never_goin_back,Augustine Frizzell,"Maia Mitchell,Camila Morrone,Kyle Mooney,Joel Allen",64,Comedy,1h26m,$61.1K,Sailor Bear
86,Into the Forest,2015,R (Language|A Scene of Violence|Rape|Some Sexuality/Nudity),https://www.rottentomatoes.com/m/into_the_forest,Patricia Rozema,"Elliot Page,Evan Rachel Wood,Max Minghella,Callum Keith Rennie",43,Mystery&thriller/Drama,1h41m,$6.4K,"BRON Studios, 
                            
                            Rhombus Media"
87,The Blackcoat's Daughter,2015,R (Brutal Bloody Violence|Brief Strong Language),https://www.rottentomatoes.com/m/the_blackcoats_daughter,Oz Perkins,"Emma Roberts,Kiernan Shipka,Lucy Boynton,James Remar",51,Horror/Mystery&thriller,1h33m,$20.0K,"Zed Filmworks, 
                            
                            120dB Films"
88,The Exception,2016,R (Graphic Nudity|Brief Violence|Language|Sexuality),https://www.rottentomatoes.com/m/the_exception,David Leveaux,"Lily James,Jai Courtney,Christopher Plummer,Eddie Marsan",67,History/Drama,1h47m,$708.0K,Ostar Productions
89,The Death of Dick Long,2019,R (Brief Drug Use|Pervasive Language|Disturbing Sexual Material),https://www.rottentomatoes.com/m/the_death_of_dick_long,Daniel Scheinert,"Michael Abbott Jr.,Virginia Newcomb,Andre Hyland,Sarah Baker",86,Comedy/Drama,1h40m,,A24
90,Medusa Deluxe,2022,,https://www.rottentomatoes.com/m/medusa_deluxe,Thomas Hardiman,"Anita-Joy Uwajeh,Clare Perkins,Darrell D'Silva,Debris Stevenson",49,Drama/Mystery&thriller,1h40m,,"BFI Films, 
                            
                            BBC Film, 
                            
                            EMU Films"
91,Enemy,2013,R (Language|Graphic Nudity|Some Strong Sexual Content),https://www.rottentomatoes.com/m/enemy_2013,Denis Villeneuve,"Jake Gyllenhaal,Mélanie Laurent,Isabella Rossellini,Sarah Gadon",64,Mystery&thriller,1h30m,$1.0M,
92,Civil War,2024,R,https://www.rottentomatoes.com/m/civil_war_2024,Alex Garland,"Kirsten Dunst,Wagner Moura,Cailee Spaeny,Stephen Henderson",76,Action/Drama,1h49m,$25.3M,"A24, 
                            
                            DNA Films"
93,I Saw the TV Glow,2024,PG-13 (Violent Content|Some Sexual Material|Thematic Elements|Teen Smoking),https://www.rottentomatoes.com/m/i_saw_the_tv_glow,Jane Schoenbrun,"Justice Smith,Brigette Lundy-Paine,Ian Foreman,Helena Howard",,Horror/Mystery&thriller,1h40m,,A24
94,The Ballad of Lefty Brown,2017,R (Violence and Some Language),https://www.rottentomatoes.com/m/the_ballad_of_lefty_brown,Jared Moshe,"Bill Pullman,Kathy Baker,Jim Caviezel,Tommy Flanagan",55,Western,1h51m,$5.6K,Armian Pictures
95,The Children Act,2017,R (A Sexual Reference),https://www.rottentomatoes.com/m/the_children_act,Richard Eyre,"Emma Thompson,Fionn Whitehead,Stanley Tucci,Ben Chaplin",63,Drama,1h45m,$432.5K,Toledo Productions
96,Low Tide,2019,R (Language|Teen Drug Use|Some Violence),https://www.rottentomatoes.com/m/low_tide_2018,Kevin McMullin,"Keean Johnson,Alex Neustaedter,Daniel Zolghadri,Kristine Froseth",65,Drama,1h26m,,"Automatik Entertainment, 
                            
                            Neighborhood Watch"
97,Swiss Army Man,2016,R (Language and Sexual Material),https://www.rottentomatoes.com/m/swiss_army_man,Daniel Scheinert,"Paul Dano,Daniel Radcliffe,Mary Elizabeth Winstead,Antonia Ribero",72,Comedy/Adventure,1h35m,$4.3M,"Blackbird Productions, 
                            
                            Tadmor, 
                            
                            Cold Iron Pictures"
98,The Kill Team,2019,R (Language Throughout|Drug Use|Violent Content),https://www.rottentomatoes.com/m/the_kill_team_2019,Dan Krauss,"Nat Wolff,Alexander Skarsgård,Adam Long,Jonathan Whitesell",42,War/Drama,1h27m,,"Mongrel Media, 
                            
                            Nostromo Pictures, 
                            
                            A24, 
                            
                            Temple Hill Entertainment"
99,Free Fire,2016,R (Pervasive Language|Drug Use|Sexual References|Strong Violence),https://www.rottentomatoes.com/m/free_fire,Ben Wheatley,"Sharlto Copley,Armie Hammer,Brie Larson,Cillian Murphy",53,Action/Comedy,1h26m,$1.8M,Rook Films
100,Climax,2018,,https://www.rottentomatoes.com/m/climax,Gaspar Noé,"Sofia Boutella,Romain Guillermic,Souheila Yacoub,Kiddy Smile",,,,,
101,Remember,2015,R (Language|A Sequence of Violence),https://www.rottentomatoes.com/m/remember_2016,Atom Egoyan,"Christopher Plummer,Martin Landau,Henry Czerny,Dean Norris",79,Mystery&thriller/Drama,1h35m,$1.2M,Serendipity Point Films
102,Men,2022,R (Graphic Nudity|Disturbing and Violent Content|Grisly Images|Language),https://www.rottentomatoes.com/m/men_2022,Alex Garland,"Jessie Buckley,Rory Kinnear,Paapa Essiedu,Gayle Rankin",39,Horror/Drama,1h40m,$7.4M,"A24, 
                            
                            DNA Films"
103,Spring Breakers,2012,,https://www.rottentomatoes.com/m/spring_breakers_2013,Harmony Korine,"James Franco,Vanessa Hudgens,Selena Gomez,Ashley Benson",,,,,
104,The Rover,2014,R (Some Bloody Violence|Language),https://www.rottentomatoes.com/m/the_rover,David Michôd,"Guy Pearce,Robert Pattinson,Scoot McNairy,David Field",52,Drama/Mystery&thriller,1h42m,$1.1M,"Porchlight Films, 
                            
                            Lava Bear Films"
105,Dicks: The Musical,2023,R (Pervasive Language|Graphic Nudity|Brief Drug Use|Strong Crude Sexual Content),https://www.rottentomatoes.com/m/dicks_the_musical,Larry Charles,"Megan Mullally,Nathan Lane,Megan Thee Stallion,Bowen Yang",66,Musical/Comedy,1h26m,$1.2M,Chernin Entertainment
106,Beau Is Afraid,2023,R (Graphic Nudity|Drug Use|Language|Sexual Content|Strong Violent Content),https://www.rottentomatoes.com/m/beau_is_afraid,Ari Aster,"Joaquin Phoenix,Nathan Lane,Amy Ryan,Parker Posey",71,Adventure/Horror,2h59m,$8.1M,"MTL Grandé Studios, 
                            
                            A24, 
                            
                            IPR.VC, 
                            
                            Access Entertainment, 
                            
                            Square Peg"
107,Laggies,2014,R (Some Sexual Material|Language|Teen Partying),https://www.rottentomatoes.com/m/laggies,Lynn Shelton,"Keira Knightley,Chloë Grace Moretz,Sam Rockwell,Ellie Kemper",50,Comedy/Drama,1h40m,$440.3K,"Anonymous Content, 
                            
                            The Solution Entertainment Group"
108,The Whale,2022,R (Sexual Content|Language|Some Drug Use),https://www.rottentomatoes.com/m/the_whale_2022,Darren Aronofsky,"Brendan Fraser,Sadie Sink,Hong Chau,Ty Simpkins",91,Drama,1h57m,$17.2M,Protozoa Pictures
109,When You Finish Saving the World,2022,,https://www.rottentomatoes.com/m/when_you_finish_saving_the_world,Jesse Eisenberg,"Julianne Moore,Finn Wolfhard,Billy Bryk,Alisha Boe",,,,,
110,Stars at Noon,2022,R (Nudity|Language|Sexual Content|Some Violence),https://www.rottentomatoes.com/m/stars_at_noon,Claire Denis,"Margaret Qualley,Joe Alwyn,Danny Ramirez,Benny Safdie",14,Drama/Mystery&thriller,2h17m,$36.0K,"September Film Distribution, 
                            
                            Hypatia Films, 
                            
                            Curiosa Films, 
                            
                            Ad Vitam, 
                            
                            Arte France Cinema, 
                            
                            Barnstormer Productions"
111,Son of a Gun,2014,R (Language Throughout|Drug Use|Nudity|Some Sexuality|Violence),https://www.rottentomatoes.com/m/son_of_a_gun_2015,Julius Avery,"Brenton Thwaites,Ewan McGregor,Alicia Vikander,Matt Nable",63,Mystery&thriller/Crime,1h48m,,Southern Light
112,The Bling Ring,2013,R (Some Sexual References|Language|Teen Drug and Alcohol Use),https://www.rottentomatoes.com/m/the_bling_ring_2013,Sofia Coppola,"Israel Broussard,Katie Chang,Taissa Farmiga,Claire Julien",33,Crime/Drama,1h30m,$5.8M,"American Zoetrope, 
                            
                            Nala Films"
113,The Last Movie Star,2017,,https://www.rottentomatoes.com/m/the_last_movie_star,Adam Rifkin,"Burt Reynolds,Ariel Winter,Chevy Chase,Clark Duke",73,Comedy/Drama,1h47m,$8.0K,Broken Twig Productions Inc.
114,Woman Walks Ahead,2017,R (Brief Violence and Language),https://www.rottentomatoes.com/m/woman_walks_ahead,Susanna White,"Jessica Chastain,Michael Greyeyes,Ciarán Hinds,Sam Rockwell",62,Western/History,1h42m,$34.5K,"Lipsync Productions, 
                            
                            Black Bicycle Entertainment, 
                            
                            Potboiler Productions, 
                            
                            The Bedford Falls Company"
115,Under the Silver Lake,2018,R (Language Throughout|Graphic Nudity|Some Drug Use|Strong Sexual Content|Violence),https://www.rottentomatoes.com/m/under_the_silver_lake,David Robert Mitchell,"Andrew Garfield,Riley Keough,Topher Grace,Patrick Fischler",59,Mystery&thriller/Comedy,2h19m,$35.3K,"Salem Street Entertainment, 
                            
                            A24, 
                            
                            Pastel, 
                            
                            Vendian Entertainment, 
                            
                            Mongrel Media"
116,Trespass Against Us,2016,R (Pervasive Language|Brief Graphic Nudity|Some Disturbing Behavior),https://www.rottentomatoes.com/m/trespass_against_us_2017,Adam Smith,"Michael Fassbender,Brendan Gleeson,Sean Harris,Lyndsey Marshal",26,Crime/Drama,1h40m,,"Potboiler Productions, 
                            
                            Film4"
117,Slice,2018,R (Some Drug Material|Bloody Violence|Nude Images|Language),https://www.rottentomatoes.com/m/slice_2018,Austin Vesely,"Zazie Beetz,Chance the Rapper,Rae Gray,Marilyn Dodds Frank",34,Horror/Comedy,1h23m,,A24
118,How to Talk to Girls at Parties,2017,R (Sexual Content|Nudity|Language Throughout|Some Drug Use),https://www.rottentomatoes.com/m/how_to_talk_to_girls_at_parties,John Cameron Mitchell,"Elle Fanning,Alex Sharp,Nicole Kidman,Ruth Wilson",39,Romance/Sci-fi,1h42m,$80.4K,"Little Punk, 
                            
                            See-Saw Films"
119,Tusk,2014,R (Language|Gore|Sexual Content|Some Disturbing Violence),https://www.rottentomatoes.com/m/tusk_2014,Kevin Smith,"Michael Parks,Justin Long,Haley Joel Osment,Genesis Rodriguez",36,Horror,1h41m,$1.8M,"Demarest Films, 
                            
                            SModcast Pictures, 
                            
                            XYZ Films"
120,Life After Beth,2014,R (Nudity|Brief Drug Use|Pervasive Language|Sexual Content|Some Horror Violence),https://www.rottentomatoes.com/m/life_after_beth,Jeff Baena,"Aubrey Plaza,Dane DeHaan,John C. Reilly,Molly Shannon",31,Comedy/Horror,1h30m,$80.3K,"StarStream Entertainment, 
                            
                            American Zoetrope, 
                            
                            Abbolita Productions"
121,Hot Summer Nights,2017,R (Sexual References|Language Throughout|Drug Content|Some Strong Violence),https://www.rottentomatoes.com/m/hot_summer_nights,Elijah Bynum,"Timothée Chalamet,Alex Roe,Maika Monroe,Maia Mitchell",58,Mystery&thriller/Romance,1h47m,,Imperative Entertainment
122,Backstabbing for Beginners,2018,R (Some Violence|Language Throughout),https://www.rottentomatoes.com/m/backstabbing_for_beginners,Per Fly,"Ben Kingsley,Theo James,Jacqueline Bisset,Belçim Bilgin",51,Mystery&thriller/Drama,1h48m,,"Creative Alliance, 
                            
                            A24"
123,Cut Bank,2014,R (Violence|Language),https://www.rottentomatoes.com/m/cut_bank,Matt Shakman,"Liam Hemsworth,Teresa Palmer,John Malkovich,Billy Bob Thornton",29,Mystery&thriller,1h29m,,"Untitled Entertainment, 
                            
                            MT Media"
124,Equals,2015,PG-13 (Partial Nudity|Disturbing Images|Sensuality|Thematic Content),https://www.rottentomatoes.com/m/equals_2016,Drake Doremus,"Kristen Stewart,Nicholas Hoult,Guy Pearce,Bel Powley",42,Sci-fi/Romance,1h41m,$32.1K,"E1 Entertainment, 
                            
                            Scott Free Productions, 
                            
                            Union Investment Partners, 
                            
                            Route One Entertainment"
125,Outlaws,2017,R (Sexual Content/Nudity|Pervasive Language|Brief Drug Use|Strong Violence Including Rape),https://www.rottentomatoes.com/m/outlaws_2019,Stephen McCallum,"Ryan Corr,Abbey Lee,Simone Kessell,Josh McConville",30,Crime/Drama,1h32m,,See Pictures
126,Mojave,2015,R (Some Violence|Language),https://www.rottentomatoes.com/m/mojave_2016,William Monahan,"Oscar Isaac,Garrett Hedlund,Louise Bourgoin,Walton Goggins",30,Mystery&thriller,1h33m,,"MICA Entertainment, 
                            
                            Atlas Independent, 
                            
                            Relativity International, 
                            
                            Henceforth Pictures"
127,The Captive,2014,R (Some Violence|Language),https://www.rottentomatoes.com/m/the_captive_2014,Atom Egoyan,"Ryan Reynolds,Rosario Dawson,Mireille Enos,Scott Speedman",35,Mystery&thriller,1h52m,,Ego Film Arts
128,Woodshock,2017,R (Language|Drug Use|A Scene of Violence),https://www.rottentomatoes.com/m/woodshock_2017,Kate Mulleavy,"Kirsten Dunst,Pilou Asbæk,Joe Cole,Jack Kilmer",24,Drama,1h41m,$41.1K,"COTA Films, 
                            
                            Waypoint Entertainment"
129,Barely Lethal,2015,PG-13 (Language|Drug References|Sexual Material|Some Action Violence|Teen Drinking),https://www.rottentomatoes.com/m/barely_lethal,Kyle Newman,"Hailee Steinfeld,Jessica Alba,Samuel L. Jackson,Sophie Turner",38,Action/Comedy,1h36m,,RKO Pictures
130,The Adderall Diaries,2015,R (Language Throughout|Drug Use|Sexuality|Some Aberrant Content|Some Disturbing Content),https://www.rottentomatoes.com/m/the_adderall_diaries,Pamela Romanowsky,"James Franco,Ed Harris,Amber Heard,Cynthia Nixon",26,Drama,1h27m,$11.3K,
131,Dark Places,2015,,https://www.rottentomatoes.com/m/dark_places_2015,Gilles Paquet-Brenner,"Charlize Theron,Nicholas Hoult,Chloë Grace Moretz,Tye Sheridan",,,,,
132,The Sea of Trees,2015,PG-13 (Some Disturbing Images|Mature Thematic Material|Brief Strong Language),https://www.rottentomatoes.com/m/the_sea_of_trees,Gus Van Sant,"Matthew McConaughey,Ken Watanabe,Naomi Watts,Katie Aselton",43,Drama,1h50m,$14.0K,"Gil Netter, 
                            
                            Waypoint Entertainment"
133,A Glimpse Inside the Mind of Charles Swan III,2012,,https://www.rottentomatoes.com/m/a_glimpse_inside_the_mind_of_charles_swan_iii,Roman Coppola,"Charlie Sheen,Jason Schwartzman,Bill Murray,Patricia Arquette",,,,,
134,Revenge of the Green Dragons,2014,R (Sexual Assault|Pervasive Language|Sexual Content|Some Drug Use|Strong Violence),https://www.rottentomatoes.com/m/revenge_of_the_green_dragons,Andrew Lau Wai-Keung,"Justin Chon,Kevin Wu,Harry Shum Jr.,Shuya Chang",30,Action/Crime,1h34m,,"7th Floor, 
                            
                            Initial A Entertainment"
135,The Vanishing of Sidney Hall,2017,R (Some Sexual References|Language),https://www.rottentomatoes.com/m/the_vanishing_of_sidney_hall,Shawn Christensen,"Kyle Chandler,Logan Lerman,Elle Fanning,Blake Jenner",77,Mystery&thriller/Drama,1h59m,,Super Crispy Entertainment
